family,label,seed,delta_phi_mae,delta_phi_rmse,all_negatives_tie_aware_ranking_acc,all_negatives_mean_margin,coarse_action_cf_ranking_acc,coarse_action_cf_mean_margin,temporal_diagnostic_ranking_acc,temporal_diagnostic_mean_margin,reverse_mean_margin,reverse_ranking_acc,run_dir,scaled_0.25_mean_margin,scaled_0.25_ranking_acc,scaled_1.75_mean_margin,scaled_1.75_ranking_acc,shuffle_mean_margin,shuffle_ranking_acc,wrong_arm_mean_margin,wrong_arm_ranking_acc,zero_mean_margin,zero_ranking_acc
main,mvp1_v1,42,0.015693882293227567,0.031787326398691106,0.5802863832853026,0.0008100991835817695,0.6170073847262247,0.001226431983627073,0.5068443804034581,-2.2566244737526957e-05,1.0470585274893886e-06,0.5118876080691642,outputs/gm100_mvp1_joint_flow/seed_42/mvp1_joint_flow,0.0017832263744562349,0.6761527377521613,0.0009878839953917935,0.6586815561959655,-4.61795480025433e-05,0.5018011527377522,-0.00023321208667536117,0.4584834293948127,0.002367829651335625,0.6747118155619597
main,mvp1_v1,43,0.02026593929672646,0.0353770683863636,0.5086305235350624,0.00011852348688989878,0.5120452089337175,0.00016326355708961614,0.5018011527377522,2.9043364942460305e-05,3.1885250823126744e-07,0.5000900576368876,outputs/gm100_mvp1_joint_flow/seed_43/mvp1_joint_flow,0.00020201124790358098,0.5151296829971181,7.292657945659387e-05,0.513328530259366,5.7767877376689345e-05,0.5035122478386167,0.00011863807143820638,0.5059438040345822,0.0002594783295600833,0.513778818443804
main,mvp1_v1,44,0.02059360958890109,0.03448589629292399,0.6139529298751201,0.0018280795775353909,0.6720776296829971,0.0027132522086149905,0.497703530259366,5.773456296843265e-05,2.9083969398946516e-07,0.49270533141210376,outputs/gm100_mvp1_joint_flow/seed_44/mvp1_joint_flow,0.003331635058428072,0.7404538904899135,0.00028274613278260404,0.5389949567723343,0.00011517828624287582,0.5027017291066282,0.002792533066376013,0.6657961095100865,0.004446094576873272,0.7430655619596542
main,mvp1_v2,42,0.015514916375176095,0.033596807117112534,0.7021944044188281,0.004413394257426262,0.8050027017291067,0.006601062205570458,0.49657780979827093,3.8058919184948574e-05,1.3494532808972797e-06,0.49081412103746397,outputs/gm100_mvp1_joint_flow_v2/seed_42/mvp1_joint_flow,0.008736625050230795,0.9768551873198847,0.0013392731102494797,0.5634906340057637,7.476838508899987e-05,0.5023414985590778,0.006808906320216784,0.7188400576368876,0.009519444341584771,0.9608249279538905
main,mvp1_v2,43,0.01199507858702827,0.028797783462858866,0.6602275456292027,0.002521393820643425,0.7390354827089337,0.003741366792309517,0.5026116714697406,8.144768767504382e-05,3.1876771292120474e-06,0.49972982708933716,outputs/gm100_mvp1_joint_flow_v2/seed_43/mvp1_joint_flow,0.00490360186882827,0.8860770893371758,0.00019721140090633795,0.5113472622478387,0.00015970769822087557,0.5054935158501441,0.004295828158065397,0.6968659942363112,0.005568825741438061,0.8618515850144092
main,mvp1_v2,44,0.020017564895405817,0.032371974091895295,0.7018341738712777,0.008410279639065266,0.8007474783861672,0.01251662955928885,0.5040075648414986,0.0001975811351297332,-1.072605651795263e-06,0.500450288184438,outputs/gm100_mvp1_joint_flow_v2/seed_44/mvp1_joint_flow,0.017054356618681037,0.9621757925072046,0.0024027641443602784,0.6006844380403458,0.0003962348759112617,0.5075648414985591,0.011855484958857524,0.7011887608069164,0.018753912515256564,0.9389409221902018
v3_formal,mvp1_v3_coarse,42,0.015514916375176095,0.033596807117112534,0.7021944044188281,0.004413394257426262,0.8050027017291066,0.006601062137633562,0.4965778097982709,3.805891901720315e-05,1.3494532808972797e-06,0.49081412103746397,outputs/gm100_mvp1_joint_flow_v3_coarse/seed_42/mvp1_joint_flow,0.008736625050230795,0.9768551873198847,0.0013392731102494797,0.5634906340057637,7.476838508899987e-05,0.5023414985590778,0.006808906320216784,0.7188400576368876,0.009519444341584771,0.9608249279538905
v3_formal,mvp1_v3_coarse,43,0.01199507858702827,0.028797783462858866,0.6602275456292027,0.002521393820643425,0.7390354827089337,0.0037413667887449265,0.5026116714697406,8.144768798956648e-05,3.1876771292120474e-06,0.49972982708933716,outputs/gm100_mvp1_joint_flow_v3_coarse/seed_43/mvp1_joint_flow,0.00490360186882827,0.8860770893371758,0.00019721140090633795,0.5113472622478387,0.00015970769822087557,0.5054935158501441,0.004295828158065397,0.6968659942363112,0.005568825741438061,0.8618515850144092
v3_formal,mvp1_v3_coarse,44,0.020017564895405817,0.032371974091895295,0.7018341738712777,0.008410279639065266,0.8007474783861671,0.012516628950834274,0.5040075648414986,0.00019758114649448544,-1.072605651795263e-06,0.500450288184438,outputs/gm100_mvp1_joint_flow_v3_coarse/seed_44/mvp1_joint_flow,0.017054356618681037,0.9621757925072046,0.0024027641443602784,0.6006844380403458,0.0003962348759112617,0.5075648414985591,0.011855484958857524,0.7011887608069164,0.018753912515256564,0.9389409221902018
ablation_seed42,cf_multi_only,42,0.08159601780393373,0.09239865006385871,0.7272304274735831,0.03689342737197876,0.8436599423631124,0.054752856492996216,0.4943713976945245,0.0011745723895728588,3.531738318588789e-05,0.489193083573487,outputs/gm100_mvp1_5_ablation/cf_multi_only/seed_42/mvp1_joint_flow,0.06893894359736465,0.9543407780979827,0.012613050098818128,0.685428674351585,0.002313827439238148,0.49954971181556196,0.06190930969740723,0.7989012968299711,0.07555011097108275,0.9359690201729106
