label,source_label,family,delta_phi_mae_mean,delta_phi_mae_std,delta_phi_rmse_mean,delta_phi_rmse_std,all_negatives_tie_aware_ranking_acc_mean,all_negatives_tie_aware_ranking_acc_std,all_negatives_mean_margin_mean,all_negatives_mean_margin_std,zero_ranking_acc_mean,zero_ranking_acc_std,zero_mean_margin_mean,zero_mean_margin_std,reverse_ranking_acc_mean,reverse_ranking_acc_std,reverse_mean_margin_mean,reverse_mean_margin_std,shuffle_ranking_acc_mean,shuffle_ranking_acc_std,shuffle_mean_margin_mean,shuffle_mean_margin_std,wrong_arm_ranking_acc_mean,wrong_arm_ranking_acc_std,wrong_arm_mean_margin_mean,wrong_arm_mean_margin_std,scaled_0.25_ranking_acc_mean,scaled_0.25_ranking_acc_std,scaled_0.25_mean_margin_mean,scaled_0.25_mean_margin_std,scaled_1.75_ranking_acc_mean,scaled_1.75_ranking_acc_std,scaled_1.75_mean_margin_mean,scaled_1.75_mean_margin_std
MVP0 stage_action_cf,stage_action_cf,stage_first_experiment,0.022346034488066106,0.0043081693930351345,0.035998106414971476,0.000572704430505345,0.819629562920269,0.027179213947484716,0.016166246157377242,0.0024636745818606763,1.0,0.0,0.028426374851506116,0.003481390729989516,0.5156700288184438,0.012027331429968683,5.6948259748620456e-11,1.6088161449864596e-10,0.5790405859750241,0.0358787108680494,0.0047792298902781406,0.0029193528869097688,0.9565321805955813,0.022193193702130267,0.023094873611614847,0.0034005891448827207,0.9998799231508165,0.000207979203598556,0.02783433162525589,0.003133310868680095,0.8666546589817483,0.10354299533539901,0.012862666908660196,0.00638416917739692
MVP0 prompt_cf_w10,prompt_cf_w10,prompt_phi_weight_sweep,0.012485107161087009,0.0006358738435429277,0.032999037848158184,0.0002792657488831481,0.7512307877041308,0.021534203005691803,0.006570831316793902,5.8480315105557135e-05,1.0,0.0,0.01655921091915598,0.00012459035981310108,0.50138088376561,0.004741800414333746,2.629409466336028e-11,1.0153335469305262e-10,0.5136587415946204,0.02755150483030253,0.0010014066983462337,0.00013843127503177112,0.7897454370797311,0.09999518123800465,0.005929969032401846,0.00034596629806489624,0.9996998078770414,0.0003749398414023702,0.015213936886861545,0.00017857153763806266,0.702899855907781,0.034907181143080404,0.0007204643377037154,0.0007233124199188544
MVP0 prompt_cf_w20,prompt_cf_w20,prompt_phi_weight_sweep,0.012055740773790888,0.0007895173556261627,0.03205929900257345,0.0019415082019129594,0.7243285702849823,0.022629689721679818,0.00562402895254914,0.0006010666452659562,1.0,0.0,0.014987972733607394,0.0012088241118314621,0.5037824207492796,0.002129248994513111,-1.3503506350242438e-11,4.5818687459807945e-11,0.5214337175792507,0.013391967288970186,0.0010127494259329027,0.0003642196980588673,0.664054995196926,0.09850635618208643,0.004126404222748135,0.0020249045313691177,1.0,0.0,0.013178710265380726,0.0009323102893316053,0.656700288184438,0.03383243802184486,0.0004383370811291895,0.0006712645319025307
MVP1 joint_flow,mvp1_joint_flow,mvp1_joint_flow,0.018851143726285036,0.002739172643810087,0.033883430359326235,0.0018691671368216596,0.5676232788984951,0.053790965587619276,0.0009189007493356863,0.0008599557211267638,0.6438520653218059,0.11771722824926402,0.00235780085258966,0.002093326141137569,0.5015609990393852,0.009675364897211257,5.522502432367071e-07,4.2874538838831645e-07,0.5026717098943324,0.0008559424489303014,4.2255538539007295e-05,8.178974361284141e-05,0.5434077809798271,0.10861537188888065,0.000892653017046286,0.001654722872514301,0.6439121037463976,0.11607042466272051,0.0017722908935959628,0.0015648405629349888,0.570335014409222,0.07757915278439188,0.00044785223587699713,0.00047930343959016894
